row_ID,mz,retention_time,p_value,statistic,n_samples,p_adjusted_BH,p_adjusted_Bonferroni,effect_size,mean_group1,mean_group2,mean_change_difference,fold_change,log2_fold_change
3537,92.0239935207597,15.563347,0.7750513736700824,41,19,1,1,-0.0888888888888889,-5.7677352871490054e-5,2.1144665966516668e-4,2.6912401253665675e-4,NA,NA
4991,106.039698776322,16.245905,0.7750513736700824,41,19,1,1,-0.0888888888888889,-0.0032603209994402,0.01349956910053015,0.01675989009997035,NA,NA
3041,109.039392301827,15.123617,0.7750513736700824,41,19,1,1,-0.0888888888888889,3.258604155278427e-5,5.9233149080939596e-5,2.664710752815533e-5,NA,NA
3416,110.034654608745,15.432622,0.7750513736700824,41,19,1,1,-0.0888888888888889,-1.1512156196436531e-4,1.5627653969161887e-4,2.713981016559842e-4,NA,NA
3738,121.050697767465,15.636853,0.7750513736700824,41,19,1,1,-0.0888888888888889,1.449053163483361e-4,7.470590725897764e-4,6.021537562414404e-4,NA,NA
933,129.01811586052,0.6898572,0.7750513736700824,41,19,1,1,-0.0888888888888889,1.2277380651455019e-5,9.434260772514445e-6,-2.8431198789405736e-6,NA,NA
3140,133.050793045646,15.198348,0.7750513736700824,49,19,1,1,0.0888888888888888,-5.3107209674833856e-5,-6.387967188019084e-5,-1.077246220535698e-5,NA,NA
3149,136.050452876401,15.21085,0.7750513736700824,41,19,1,1,-0.0888888888888889,-2.494773655247279e-5,-1.293786003513524e-5,1.2009876517337552e-5,NA,NA
4415,147.030173317404,16.012184,0.7750513736700824,41,19,1,1,-0.0888888888888889,-3.631626983723737e-5,-8.66263554474385e-6,2.7653634292493516e-5,NA,NA
7025,147.066549184694,16.95107,0.7750513736700824,41,19,1,1,-0.0888888888888889,-9.705364163044788e-5,-8.156214789346712e-5,1.549149373698076e-5,NA,NA
3139,148.050571639821,15.191882,0.7750513736700824,41,19,1,1,-0.0888888888888889,-1.493573274608143e-5,-9.783643111401592e-6,5.1520896346798385e-6,NA,NA
6558,155.035299645591,16.70867,0.7750513736700824,49,19,1,1,0.0888888888888888,6.9182320895268e-5,-4.677942774635446e-5,-1.1596174864162246e-4,NA,NA
5017,155.035304762369,16.227299,0.7750513736700824,41,19,1,1,-0.0888888888888889,-5.218634878258794e-4,-2.487890366296433e-4,2.7307445119623613e-4,NA,NA
2455,161.020998246118,13.559451,0.7750513736700824,41,19,1,1,-0.0888888888888889,-1.1082019229174684e-7,5.853382203002264e-8,1.693540143217695e-7,NA,NA
5704,172.061968406722,16.41532,0.7750513736700824,41,19,1,1,-0.0888888888888889,-1.241955242822071e-4,-2.4134742859424662e-4,-1.1715190431203952e-4,NA,NA
4220,174.077625291064,15.810205,0.7750513736700824,49,19,1,1,0.0888888888888888,2.077421696700629e-5,-5.4079983508187524e-5,-7.485420047519382e-5,NA,NA
4112,175.061651765366,15.779885,0.7750513736700824,41,19,1,1,-0.0888888888888889,2.7433554390498447e-5,1.3243705284259914e-4,1.0500349845210069e-4,NA,NA
6046,183.933535701153,16.743097,0.7750513736700824,49,19,1,1,0.0888888888888888,-4.859180233317488e-4,-3.7277134736566665e-4,1.1314667596608216e-4,NA,NA
5197,196.062157847837,16.300648,0.7750513736700824,49,19,1,1,0.0888888888888888,-2.683531143943971e-5,-7.045783725761356e-5,-4.362252581817385e-5,NA,NA
4110,198.077822827488,15.839209,0.7750513736700824,49,19,1,1,0.0888888888888888,1.4188329943575927e-4,-1.2469543164710006e-4,-2.6657873108285935e-4,NA,NA
7268,198.807740676831,17.176224,0.7750513736700824,49,19,1,1,0.0888888888888888,6.682895541850999e-6,4.015893537553966e-6,-2.6670020042970334e-6,NA,NA
5160,213.088856448448,16.252657,0.7750513736700824,49,19,1,1,0.0888888888888888,-5.8346954220012156e-5,-1.662962564145282e-4,-1.0794930219451604e-4,NA,NA
2336,221.154242450111,12.947927,0.7750513736700824,41,19,1,1,-0.0888888888888889,-1.4920747650409965e-6,-6.99440098933333e-6,-5.502326224292333e-6,NA,NA
6491,225.088958963474,16.649118,0.7750513736700824,41,19,1,1,-0.0888888888888889,6.499394519940401e-5,1.561474939484e-4,9.1153548748996e-5,NA,NA
5642,225.088975561957,16.36311,0.7750513736700824,49,19,1,1,0.0888888888888888,-8.903764194106994e-6,-9.028758883209971e-6,-1.2499468910297652e-7,NA,NA
5875,226.08425069332,16.47767,0.7750513736700824,41,19,1,1,-0.0888888888888889,9.860573833250886e-7,3.253638605021604e-5,3.155032866689095e-5,NA,NA
4322,238.084375565012,16.014404,0.7750513736700824,49,19,1,1,0.0888888888888888,3.430762827201023e-5,-6.243544574738674e-6,-4.05511728467489e-5,NA,NA
1738,261.134347153457,7.5821743,0.7750513736700824,49,19,1,1,0.0888888888888888,2.153256144901703e-5,-2.78500963114522e-5,-4.938265776046923e-5,NA,NA
